region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23,region,city,average_net_emissions
14,9,Södermanland,Vingåker,-485570.2963310464,Soedermanland,Vingaaker,-22071.4
15,1,Stockholm,Botkyrka,-806333.9454314748,Stockholm,Botkyrka,-36651.5
15,2,Stockholm,Danderyd,-155842.15728129423,Stockholm,Danderyd,-7083.7
15,3,Stockholm,Ekerö,-1092106.455899379,Stockholm,Ekeroe,-49641.2
15,4,Stockholm,Haninge,-3581776.359805391,Stockholm,Haninge,-162808.0
15,5,Stockholm,Huddinge,-1033292.052177645,Stockholm,Huddinge,-46967.8
15,6,Stockholm,Järfälla,-224823.08139402623,Stockholm,Jaerfaella,-10219.2
15,7,Stockholm,Lidingö,-220758.01965206125,Stockholm,Lidingoe,-10034.5
15,8,Stockholm,Nacka,-713660.93182644,Stockholm,Nacka,-32439.1
15,9,Stockholm,Norrtälje,-9606764.700782778,Stockholm,Norrtaelje,-436671.1
15,10,Stockholm,Nykvarn,-186388.65753351577,Stockholm,Nykvarn,-8472.2
15,11,Stockholm,Nynäshamn,-2292406.877687679,Stockholm,Nynaeshamn,-104200.3
15,12,Stockholm,Österåker,-2294322.38336628,Stockholm,Oesteraaker,-104287.4
15,13,Stockholm,Salem,-241224.1398879492,Stockholm,Salem,-10964.7
15,14,Stockholm,Sigtuna,-587620.2861140431,Stockholm,Sigtuna,-26710.0
15,15,Stockholm,Södertälje,-2106524.2102041123,Stockholm,Soedertaelje,-95751.1
15,16,Stockholm,Sollentuna,-255356.9035007849,Stockholm,Sollentuna,-11607.1
15,17,Stockholm,Solna,-76731.72482737339,Stockholm,Solna,-3487.8
15,18,Stockholm,Stockholm,-692996.3555766843,Stockholm,Stockholm,-31499.8
15,19,Stockholm,Sundbyberg,-18065.167117935085,Stockholm,Sundbyberg,-821.1
15,20,Stockholm,Täby,-241173.95828463676,Stockholm,Taeby,-10962.5
15,21,Stockholm,Tyresö,-716851.9535438614,Stockholm,Tyresoe,-32584.2
15,22,Stockholm,Upplands-Bro,-727352.5477402881,Stockholm,Upplands-bro,-33061.5
15,23,Stockholm,Upplands-Väsby,-288450.5323456664,Stockholm,Upplands-vaesby,-13111.4
15,24,Stockholm,Vallentuna,-1822856.087613016,Stockholm,Vallentuna,-82857.1
15,25,Stockholm,Värmdö,-3493034.996644936,Stockholm,Vaermdoe,-158774.3
15,26,Stockholm,Vaxholm,-412408.0007445227,Stockholm,Vaxholm,-18745.8
16,1,Uppsala,Älvkarleby,-412551.00823893177,Uppsala,Aelvkarleby,-18752.3
16,2,Uppsala,Enköping,-511744.05534913903,Uppsala,Enkoeping,-23261.1
16,3,Uppsala,Håbo,-248320.1325511176,Uppsala,Haabo,-11287.3
16,4,Uppsala,Knivsta,-266706.094485146,Uppsala,Knivsta,-12123.0
